time,move
22 : 6 : 22 : 208,LEFT
22 : 6 : 28 : 846,LEFT
22 : 6 : 36 : 977,LEFT
22 : 6 : 45 : 429,RIGHT
22 : 6 : 54 : 451,LEFT
22 : 7 : 18 : 213,LEFT
22 : 7 : 23 : 283,RIGHT
22 : 7 : 34 : 758,LEFT
22 : 7 : 40 : 203,LEFT
22 : 7 : 51 : 639,RIGHT
22 : 7 : 56 : 328,RIGHT
22 : 8 : 33 : 379,LEFT
22 : 8 : 49 : 670,RIGHT
22 : 8 : 53 : 975,RIGHT
22 : 9 : 0 : 381,LEFT
22 : 9 : 7 : 719,RIGHT
22 : 9 : 13 : 507,LEFT
22 : 9 : 19 : 961,LEFT
22 : 10 : 0 : 984,RIGHT
22 : 10 : 8 : 368,LEFT
22 : 10 : 13 : 845,RIGHT
22 : 10 : 23 : 549,RIGHT
22 : 10 : 28 : 448,LEFT
22 : 10 : 34 : 209,LEFT
22 : 10 : 42 : 175,RIGHT
22 : 10 : 50 : 269,LEFT
22 : 11 : 12 : 418,LEFT
22 : 11 : 15 : 925,RIGHT
22 : 11 : 25 : 737,RIGHT
22 : 11 : 32 : 199,RIGHT
22 : 11 : 37 : 270,LEFT
22 : 11 : 43 : 794,LEFT
22 : 11 : 52 : 568,RIGHT
22 : 12 : 0 : 192,LEFT
22 : 12 : 6 : 855,RIGHT
22 : 12 : 12 : 281,RIGHT
22 : 12 : 20 : 651,LEFT
22 : 12 : 27 : 656,RIGHT
22 : 12 : 32 : 426,LEFT
22 : 12 : 40 : 146,LEFT
22 : 12 : 51 : 493,LEFT
22 : 12 : 57 : 390,RIGHT
22 : 13 : 40 : 230,RIGHT
22 : 13 : 44 : 682,LEFT
22 : 13 : 51 : 437,LEFT
22 : 13 : 55 : 967,RIGHT
22 : 14 : 2 : 704,LEFT
22 : 14 : 10 : 209,RIGHT
22 : 14 : 15 : 755,LEFT
22 : 14 : 23 : 879,RIGHT
22 : 14 : 28 : 320,RIGHT
22 : 14 : 36 : 260,RIGHT
22 : 14 : 44 : 864,LEFT
22 : 14 : 51 : 900,RIGHT
22 : 14 : 58 : 275,LEFT
22 : 15 : 8 : 503,LEFT
22 : 15 : 16 : 119,RIGHT
22 : 15 : 23 : 288,RIGHT
22 : 15 : 30 : 946,LEFT
22 : 15 : 36 : 285,LEFT
